string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000362195,CSF3R,CSF3R_HUMAN,Q99062,Granulocyte colony-stimulating factor receptor,71.0,0.004470751,4.44e-05,0.267753726,0.000448851,0.000105989,38.0,0.233807533,56246.0,1.0,2329.0,0.183693712,1.106568353,4.0,peripheral,0
9606.ENSP00000362299,ENG,EGLN_HUMAN,P17813,Endoglin,56.0,0.003526226,0.000375922,0.266401112,0.000104898,0.000118897,30.0,0.19079963,46511.0,1.0,2329.0,0.499362245,0.329159208,6.0,peripheral,0
9606.ENSP00000362308,SH3BGRL,SH3L1_HUMAN,O75368,,3.0,0.000188905,8.72e-07,0.245436015,0.000267126,1.37e-05,3.0,0.0,2483.0,8.0,1936.0,0.666666667,-0.942586578,2.0,connector,0
9606.ENSP00000362314,EIF4EBP2,4EBP2_HUMAN,Q13542,,7.0,0.000440778,0.0,0.243328947,0.000152349,2.14e-05,7.0,0.784707941,6296.0,3.0,1094.0,0.489795918,-0.605069402,1.0,peripheral,0
9606.ENSP00000362329,PPA1,IPYR_HUMAN,Q15181,Inorganic pyrophosphatase,41.0,0.002581701,0.00010799,0.237334132,0.000981034,6.63e-05,28.0,0.348674308,32436.0,12.0,518.0,0.342653183,0.076000114,4.0,peripheral,1
9606.ENSP00000362334,PSMB2,PSB2_HUMAN,D3DPS0,Proteasome subunit beta type-2,74.0,0.004659656,0.000433511,0.26928289,0.001757607,0.000118767,40.0,0.506750253,68537.0,3.0,1094.0,0.247991234,2.291849311,6.0,peripheral,1
9606.ENSP00000362353,GLP1R,GLP1R_HUMAN,P43220,Glucagon-like peptide 1 receptor,38.0,0.002392796,6.8e-05,0.25872708,3.5e-05,9.54e-05,21.0,0.238830282,31982.0,4.0,2493.0,0.319944598,0.941743084,3.0,peripheral,0
9606.ENSP00000362361,CDK9,CDK9_HUMAN,P50750,Cyclin-dependent kinase 9,111.0,0.006989484,0.001120257,0.286675903,0.001958088,0.000159175,44.0,0.206372131,98123.0,7.0,1183.0,0.4428212,0.941371059,8.0,peripheral,1
9606.ENSP00000362387,TSPAN15,TSN15_HUMAN,O95858,Tetraspanin-15,5.0,0.000314842,3.17e-08,0.213591578,2.94e-06,3.11e-05,3.0,0.411832246,3817.0,12.0,518.0,0.48,-0.783564496,1.0,peripheral,0
9606.ENSP00000362444,DLGAP3,DLGP3_HUMAN,O95886,Disks large-associated protein 3,24.0,0.00151124,0.000187731,0.233021662,5.12e-06,8.39e-05,17.0,0.414997263,19423.0,4.0,2493.0,0.079861111,0.518598378,1.0,peripheral,0
